,page_url,property_type,price,location,city,locality,baths,area,area_marla,area_sqft,bedrooms
0,https://www.zameen.com/Property/g_10_g_10_2_ground_floor_corner_apartment_with_green_lawn_for_sale-237062-3325-1.html,Flat,10000000,G-10,Islamabad,"G-10, Islamabad, Islamabad Capital",2,4 Marla,4.0,1089.0,2
1,https://www.zameen.com/Property/e_11_2_services_society_flat_available_for_sale-346905-3236-1.html,Flat,6900000,E-11,Islamabad,"E-11, Islamabad, Islamabad Capital",3,5.6 Marla,5.6,1524.61,3
8,https://www.zameen.com/Property/e_11_e_11_4_apartment_for_sale_in_e_11_4-1258636-3241-1.html,Flat,7800000,E-11,Islamabad,"E-11, Islamabad, Islamabad Capital",2,6.2 Marla,6.2,1687.96,2
11,https://www.zameen.com/Property/islamabad_diplomatic_enclave_apartment_for_sale_in_diplomatic_enclave-1425602-429-1.html,Flat,35000000,Diplomatic Enclave,Islamabad,"Diplomatic Enclave, Islamabad, Islamabad Capital",3,7.1 Marla,7.1,1932.98,3
12,https://www.zameen.com/Property/islamabad_diplomatic_enclave_urgently_for_sale__2_bedroom_apartment_in_diplomatic_enclave-1586658-429-1.html,Flat,48000000,Diplomatic Enclave,Islamabad,"Diplomatic Enclave, Islamabad, Islamabad Capital",2,7.8 Marla,7.8,2123.56,2
16,https://www.zameen.com/Property/dha_defence_phase_2_askari_tower_2_askari_towers_2_islamabad_flat_for_sale-1665024-11905-1.html,Flat,13500000,DHA Defence,Islamabad,"DHA Defence, Islamabad, Islamabad Capital",5,10 Marla,10.0,2722.51,3
17,https://www.zameen.com/Property/islamabad_e_11_flat_for_sale_in_e11_one_bed_tvl-1879795-329-1.html,Flat,3600000,E-11,Islamabad,"E-11, Islamabad, Islamabad Capital",1,3.1 Marla,3.1,843.98,1
18,https://www.zameen.com/Property/islamabad_e_11_flat_for_sale_in_e_11-1879796-329-1.html,Flat,5000000,E-11,Islamabad,"E-11, Islamabad, Islamabad Capital",2,4 Marla,4.0,1089.0,2
22,https://www.zameen.com/Property/islamabad_pwd_housing_scheme_apartment_available_for_sale_in_newly_build_building_already_rented-2384979-424-1.html,Flat,1750000,PWD Housing Scheme,Islamabad,"PWD Housing Scheme, Islamabad, Islamabad Capital",0,1.5 Marla,1.5,408.38,0
26,https://www.zameen.com/Property/islamabad_diplomatic_enclave_brand_new_apartment_in_diplomatic_enclave-2682075-429-1.html,Flat,47000000,Diplomatic Enclave,Islamabad,"Diplomatic Enclave, Islamabad, Islamabad Capital",2,8.4 Marla,8.4,2286.91,3
30,https://www.zameen.com/Property/islamabad_blue_area_f_8_elysium_tower_blue_area__we_offer_1_bed_luxury_apartments_for_sale_booking_start_now-2883507-157-1.html,Flat,19400000,Blue Area,Islamabad,"Blue Area, Islamabad, Islamabad Capital",1,4.3 Marla,4.3,1170.68,1
32,https://www.zameen.com/Property/g_11_g_11_3_residential_flat_2_bed_is_available_in_one_in_crown_tower_for_sale-3101600-3332-1.html,Flat,8000000,G-11,Islamabad,"G-11, Islamabad, Islamabad Capital",2,6.7 Marla,6.7,1824.08,2
33,https://www.zameen.com/Property/islamabad_e_11_e11_main_margalla_road_capital_resort_new_booking-3166573-329-1.html,Flat,6300000,E-11,Islamabad,"E-11, Islamabad, Islamabad Capital",3,5.3 Marla,5.3,1442.93,3
39,https://www.zameen.com/Property/islamabad_d_17_flat_available_for_sale-3728542-737-1.html,Flat,2500000,D-17,Islamabad,"D-17, Islamabad, Islamabad Capital",0,2.2 Marla,2.2,598.95,0
40,https://www.zameen.com/Property/dha_defence_phase_2_askari_tower_2_askari_tower_3_bedrooms_flat_for_sale-3933565-11905-1.html,Flat,15500000,DHA Defence,Islamabad,"DHA Defence, Islamabad, Islamabad Capital",4,12 Marla,12.0,3267.01,4
42,https://www.zameen.com/Property/islamabad_f_17_luxury_flat_825_sq__ft_at_investor_rate-4165171-335-1.html,Flat,3200000,F-17,Islamabad,"F-17, Islamabad, Islamabad Capital",2,3.7 Marla,3.7,1007.33,2
44,https://www.zameen.com/Property/islamabad_i_12_pha_i_12_1_scheme__d_type_flat_for_sale-4333092-1418-1.html,Flat,3965000,I-12,Islamabad,"I-12, Islamabad, Islamabad Capital",2,4.2 Marla,4.2,1143.45,2
46,https://www.zameen.com/Property/f_10_f_10_3_two_bed_apartment_for_sale-4390797-3278-1.html,Flat,7800000,F-10,Islamabad,"F-10, Islamabad, Islamabad Capital",2,5.8 Marla,5.8,1579.06,2
50,https://www.zameen.com/Property/bahria_town_bahria_enclave_2_bed_apartment_1366_sq_ft__for_sale-4858041-1705-1.html,Flat,8000000,Bahria Town,Islamabad,"Bahria Town, Islamabad, Islamabad Capital",2,6.1 Marla,6.1,1660.73,2
51,https://www.zameen.com/Property/islamabad_e_11_flat_is_available_for_sale-4931494-329-1.html,Flat,5000000,E-11,Islamabad,"E-11, Islamabad, Islamabad Capital",2,4 Marla,4.0,1089.0,2
52,https://www.zameen.com/Property/islamabad_e_11_flat_is_available_for_sale__possession_in_december-4931495-329-1.html,Flat,3600000,E-11,Islamabad,"E-11, Islamabad, Islamabad Capital",1,3.1 Marla,3.1,843.98,1
53,https://www.zameen.com/Property/islamabad_e_11_flat_is_available_for_sale_in_4_years_installment-4931496-329-1.html,Flat,4800000,E-11,Islamabad,"E-11, Islamabad, Islamabad Capital",2,4 Marla,4.0,1089.0,2
58,https://www.zameen.com/Property/e_11_e_11_4_ground_floor_flat_for_sale_in_e_11_1_islamabad_main_margala-5001565-3241-1.html,Flat,5000000,E-11,Islamabad,"E-11, Islamabad, Islamabad Capital",0,3.8 Marla,3.8,1034.55,0
63,https://www.zameen.com/Property/g_11_g_11_4_pha_d_type_flat_is_available_for_sale_g_11_4-5164651-3333-1.html,Flat,7000000,G-11,Islamabad,"G-11, Islamabad, Islamabad Capital",1,4 Marla,4.0,1089.0,2
66,https://www.zameen.com/Property/islamabad_jinnah_avenue_elysuim_tower__we_offer_2_bed_apartment_for_sale_on_easy_installments-5359816-1709-1.html,Flat,27900000,Jinnah Avenue,Islamabad,"Jinnah Avenue, Islamabad, Islamabad Capital",2,6.9 Marla,6.9,1878.53,2
67,https://www.zameen.com/Property/islamabad_jinnah_avenue_f_8_elysium_tower_blue_area_we_offer_1_bed_apartment_for_sale_very_reasonable_price_on_easy_installments-5360448-1709-1.html,Flat,18400000,Jinnah Avenue,Islamabad,"Jinnah Avenue, Islamabad, Islamabad Capital",1,4.3 Marla,4.3,1170.68,1
68,https://www.zameen.com/Property/islamabad_jinnah_avenue_2_bed_flat_on_easy_installments_in_elysium_tower_blue_area_front_of_centaurus_and_pims_hospital-5365660-1709-1.html,Flat,27100000,Jinnah Avenue,Islamabad,"Jinnah Avenue, Islamabad, Islamabad Capital",2,6.6 Marla,6.6,1796.86,2
70,https://www.zameen.com/Property/e_11_e_11_4_flat_is_available_for_sale_in_e11_main_margalla-5663594-3241-1.html,Flat,9900000,E-11,Islamabad,"E-11, Islamabad, Islamabad Capital",3,7.6 Marla,7.6,2069.11,3
74,https://www.zameen.com/Property/bahria_town_bahria_enclave_sector_c_1_bed_apartment_for_office_on_main_enclave_avenue_opposite_zoo_bahria_enclave_islamabad-5958535-1705-1.html,Flat,4800000,Bahria Town,Islamabad,"Bahria Town, Islamabad, Islamabad Capital",1,2.9 Marla,2.9,789.53,1
76,https://www.zameen.com/Property/gulberg_greens_karakoram_greens_gulberg_greens_islamabad_karakoram__2_beds_luxury_apartment_for_sale-6020857-11832-1.html,Flat,12500000,Gulberg,Islamabad,"Gulberg, Islamabad, Islamabad Capital",2,6.9 Marla,6.9,1878.53,2
79,https://www.zameen.com/Property/islamabad_diplomatic_enclave_3_beds_fully_furnished_apartment_for_sale_in_diplomatic_enclave-6132587-429-1.html,Flat,48000000,Diplomatic Enclave,Islamabad,"Diplomatic Enclave, Islamabad, Islamabad Capital",2,11.1 Marla,11.1,3021.99,3
82,https://www.zameen.com/Property/bahria_town_bahria_enclave_islamabad_bahria_enclave_two_bedroom_flat_on_easy_18_months_installment_plan_for_sale-6265851-1705-1.html,Flat,5656000,Bahria Town,Islamabad,"Bahria Town, Islamabad, Islamabad Capital",2,3.6 Marla,3.6,980.1,2
83,https://www.zameen.com/Property/islamabad_e_11_royal_apartment_for_sale-6271232-329-1.html,Flat,5800000,E-11,Islamabad,"E-11, Islamabad, Islamabad Capital",2,4.1 Marla,4.1,1116.23,2
88,https://www.zameen.com/Property/f_11_f_11_markaz_f_11_size_3700_square_feet_karakoram_enclave_4_bedrooms_apartment_for_sale-6282364-3286-1.html,Flat,42000000,F-11,Islamabad,"F-11, Islamabad, Islamabad Capital",4,16.4 Marla,16.4,4464.92,4
92,https://www.zameen.com/Property/islamabad_diplomatic_enclave_apartment_is_urgent_for_sale_2_beds_fully_furnished-6468068-429-1.html,Flat,33000000,Diplomatic Enclave,Islamabad,"Diplomatic Enclave, Islamabad, Islamabad Capital",3,8 Marla,8.0,2178.01,2
93,https://www.zameen.com/Property/dha_defence_phase_2_askari_tower_1_askari_tower_2__4_bedrooms_flat_for_sale-6472689-10663-1.html,Flat,15000000,DHA Defence,Islamabad,"DHA Defence, Islamabad, Islamabad Capital",8,12 Marla,12.0,3267.01,4
96,https://www.zameen.com/Property/dha_defence_phase_2_askari_tower_2_askari_tower_2_dha_2_islamabad_flat_for_sale-6594235-11905-1.html,Flat,15500000,DHA Defence,Islamabad,"DHA Defence, Islamabad, Islamabad Capital",4,10 Marla,10.0,2722.51,3
99,https://www.zameen.com/Property/dha_defence_phase_2_askari_tower_1_askari_towers_2_dha_2_islamabad_3_bedrooms_flat_for_sale-6601202-10663-1.html,Flat,15000000,DHA Defence,Islamabad,"DHA Defence, Islamabad, Islamabad Capital",4,10 Marla,10.0,2722.51,3
102,https://www.zameen.com/Property/g_11_g_11_3_g_11_3_housing_foundation_c_type_1st_floor_apartment_investor_price-6636158-3332-1.html,Flat,10500000,G-11,Islamabad,"G-11, Islamabad, Islamabad Capital",3,4.9 Marla,4.9,1334.03,3
103,https://www.zameen.com/Property/g_7_g_7_1_flat_for_sale_at_zero_point-6636850-3369-1.html,Flat,12500000,G-7,Islamabad,"G-7, Islamabad, Islamabad Capital",2,5.8 Marla,5.8,1579.06,3
109,https://www.zameen.com/Property/dha_defence_phase_2_askari_tower_1_3_bed_flat_with_view_for_sale_in_askari_towers_1-6806297-10663-1.html,Flat,15500000,DHA Defence,Islamabad,"DHA Defence, Islamabad, Islamabad Capital",4,10 Marla,10.0,2722.51,3
111,https://www.zameen.com/Property/f_10_silver_oaks_apartments_flat_is_available_for_sale_silver_oaks_apartments-6861022-11308-1.html,Flat,35000000,F-10,Islamabad,"F-10, Islamabad, Islamabad Capital",3,10 Marla,10.0,2722.51,3
113,https://www.zameen.com/Property/islamabad_diplomatic_enclave_flat_for_sale_in_diplomatic_enclave-6891342-429-1.html,Flat,46000000,Diplomatic Enclave,Islamabad,"Diplomatic Enclave, Islamabad, Islamabad Capital",2,8.9 Marla,8.9,2423.03,2
115,https://www.zameen.com/Property/islamabad_e_11_2_bedrooms_apartment_e_11_1-6974465-329-1.html,Flat,4500000,E-11,Islamabad,"E-11, Islamabad, Islamabad Capital",2,4.7 Marla,4.7,1279.58,2
117,https://www.zameen.com/Property/f_8_the_centaurus_luxury_apartment_available_for_sale-7009953-8349-1.html,Flat,55000000,F-8,Islamabad,"F-8, Islamabad, Islamabad Capital",0,11.7 Marla,11.7,3185.34,3
157,https://www.zameen.com/Property/dha_defence_phase_2_dha_phase_2_sector_j_2_beds_apartment_on_first_floor_for_rent_in_dha_phase_2-4606306-8399-4.html,Flat,17000,DHA Defence,Islamabad,"DHA Defence, Islamabad, Islamabad Capital",1,4 Marla,4.0,1089.0,2
168,https://www.zameen.com/Property/islamabad_i_11_d_type_pha_flat_for_rent_on_main_gate_and_double_road_owner-5442936-706-4.html,Flat,20500,I-11,Islamabad,"I-11, Islamabad, Islamabad Capital",2,4.4 Marla,4.4,1197.9,2
169,https://www.zameen.com/Property/dha_defence_phase_2_defence_residency_defence_residency_2_bed_brand_new_flat_for_rent_in_dha_phase_2-5519354-9914-4.html,Flat,17000,DHA Defence,Islamabad,"DHA Defence, Islamabad, Islamabad Capital",2,3.6 Marla,3.6,980.1,2
175,https://www.zameen.com/Property/i_8_i_8_markaz_2nd_floor_flat_is_available_for_rent-5878767-3445-4.html,Flat,75000,I-8,Islamabad,"I-8, Islamabad, Islamabad Capital",2,5.1 Marla,5.1,1388.48,0
177,https://www.zameen.com/Property/islamabad_f_11_flat_available_for_rent-6130387-163-4.html,Flat,60000,F-11,Islamabad,"F-11, Islamabad, Islamabad Capital",0,6.2 Marla,6.2,1687.96,2
184,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_3_bed_brand_new_flat_available_for_rent_in_dha_defence_phase_2__askari_tower_islamabad-6288959-339-4.html,Flat,43000,DHA Defence,Islamabad,"DHA Defence, Islamabad, Islamabad Capital",3,11.6 Marla,11.6,3158.11,3
187,https://www.zameen.com/Property/islamabad_e_11_unfurnished_apartment_available_for_rent-6397876-329-4.html,Flat,25000,E-11,Islamabad,"E-11, Islamabad, Islamabad Capital",1,2.2 Marla,2.2,598.95,1
188,https://www.zameen.com/Property/islamabad_e_11_furnished_apartment_available_for_rent-6397877-329-4.html,Flat,35000,E-11,Islamabad,"E-11, Islamabad, Islamabad Capital",1,2.2 Marla,2.2,598.95,1
189,https://www.zameen.com/Property/islamabad_e_11_unfurnished_apartment_available_for_rent-6397878-329-4.html,Flat,35000,E-11,Islamabad,"E-11, Islamabad, Islamabad Capital",2,5.3 Marla,5.3,1442.93,2
191,https://www.zameen.com/Property/dha_defence_phase_2_askari_tower_2_askari_tower_2_dha_2_islamabad_flat_for_rent-6472791-11905-4.html,Flat,40000,DHA Defence,Islamabad,"DHA Defence, Islamabad, Islamabad Capital",4,10 Marla,10.0,2722.51,3
193,https://www.zameen.com/Property/e_11_e_11_4_3_bed_room_with_tv_lounge_flat_for_rent-6653703-3241-4.html,Flat,40000,E-11,Islamabad,"E-11, Islamabad, Islamabad Capital",3,4.4 Marla,4.4,1197.9,3
197,https://www.zameen.com/Property/islamabad_diplomatic_enclave_mediterranean_apartment_2_room_fully_furnished_ground_floor-7029240-429-1.html,Flat,43000000,Diplomatic Enclave,Islamabad,"Diplomatic Enclave, Islamabad, Islamabad Capital",2,6.7 Marla,6.7,1824.08,2
198,https://www.zameen.com/Property/f_8_the_centaurus_3_bed_luxury_apartment_fully_furnished_available_in_centaurus-7029493-8349-1.html,Flat,52500000,F-8,Islamabad,"F-8, Islamabad, Islamabad Capital",0,11.7 Marla,11.7,3185.34,3
200,https://www.zameen.com/Property/f_8_the_centaurus_1_bed_luxurious_apartment_in_centaurus_full_furnished_with_exotic_view_available_for_sale-7078169-8349-1.html,Flat,27500000,F-8,Islamabad,"F-8, Islamabad, Islamabad Capital",0,5.1 Marla,5.1,1388.48,1
207,https://www.zameen.com/Property/f_10_silver_oaks_apartments_silver_oaks_2_bed_compact_flat_for_sale-7294473-11308-1.html,Flat,25000000,F-10,Islamabad,"F-10, Islamabad, Islamabad Capital",1,4.4 Marla,4.4,1197.9,2
210,https://www.zameen.com/Property/f_8_the_centaurus_studio_apartment_available_for_sale_in_centaurus_islamabad-7327071-8349-1.html,Flat,16500000,F-8,Islamabad,"F-8, Islamabad, Islamabad Capital",1,3 Marla,3.0,816.75,1
212,https://www.zameen.com/Property/f_8_the_centaurus_centaurus_luxury_apartments_now_available_on_installments_with_immediate_possession-7367176-8349-1.html,Flat,29500000,F-8,Islamabad,"F-8, Islamabad, Islamabad Capital",2,6.7 Marla,6.7,1824.08,2
213,https://www.zameen.com/Property/islamabad_bani_gala_luxurious_2_bed_rooms_apartment_with_rawal_lake_view_in_bani_gala-7396739-340-1.html,Flat,7500000,Bani Gala,Islamabad,"Bani Gala, Islamabad, Islamabad Capital",3,7.1 Marla,7.1,1932.98,2
214,https://www.zameen.com/Property/islamabad_diplomatic_enclave_studio_apartment_for_sale_in_diplomatic_enclave_islamabad-7398013-429-1.html,Flat,10000000,Diplomatic Enclave,Islamabad,"Diplomatic Enclave, Islamabad, Islamabad Capital",1,2 Marla,2.0,544.5,1
215,https://www.zameen.com/Property/islamabad_diplomatic_enclave_newly_renovated_fully_furnished_studio_apartment_for_sale_in_diplomatic_enclave_islamabad-7430314-429-1.html,Flat,10000000,Diplomatic Enclave,Islamabad,"Diplomatic Enclave, Islamabad, Islamabad Capital",0,2.2 Marla,2.2,598.95,0
216,https://www.zameen.com/Property/f_8_the_centaurus_new_apartments_available_in_centaurus_on_installment_plan-7437922-8349-1.html,Flat,31100000,F-8,Islamabad,"F-8, Islamabad, Islamabad Capital",0,5.1 Marla,5.1,1388.48,1
219,https://www.zameen.com/Property/dha_phase_1_sector_f_dha_phase_1_defence_villas_flat_for_sale__at_good_location-7539518-3075-1.html,Flat,12500000,DHA Defence,Islamabad,"DHA Defence, Islamabad, Islamabad Capital",3,8.9 Marla,8.9,2423.03,3
223,https://www.zameen.com/Property/g_11_g_11_3_g_11_3_flat_1100_sq_ft_1st_floor_corner_maine_road-7664843-3332-1.html,Flat,8500000,G-11,Islamabad,"G-11, Islamabad, Islamabad Capital",3,4.9 Marla,4.9,1334.03,3
224,https://www.zameen.com/Property/islamabad_b_17_flat_is_available_b_square_at_2nd_floor_price_29_97_lac-7734407-616-1.html,Flat,2997000,B-17,Islamabad,"B-17, Islamabad, Islamabad Capital",2,3 Marla,3.0,816.75,2
228,https://www.zameen.com/Property/d_17_pine_heights_luxury_apartments_pine_heights_luxury_apartment_d_17_2_islamabad-7794771-9684-1.html,Flat,9500000,D-17,Islamabad,"D-17, Islamabad, Islamabad Capital",3,7.1 Marla,7.1,1932.98,3
240,https://www.zameen.com/Property/dha_defence_phase_2_lignum_tower_2_bedroom_flat_in_lignum_tower-7849021-9913-1.html,Flat,6500000,DHA Defence,Islamabad,"DHA Defence, Islamabad, Islamabad Capital",2,6.3 Marla,6.3,1715.18,2
250,https://www.zameen.com/Property/bahria_town_bahria_enclave_2_bedroom_apartment_for_sale_in_medina_mall_and_residency-7891200-1705-1.html,Flat,8800000,Bahria Town,Islamabad,"Bahria Town, Islamabad, Islamabad Capital",2,6.1 Marla,6.1,1660.73,2
256,https://www.zameen.com/Property/g_13_1_lifestyle_residency_c_category_floor_no_13_lifestyle_residency_flat_for_sale-7897928-10664-1.html,Flat,3500000,G-13,Islamabad,"G-13, Islamabad, Islamabad Capital",0,5.9 Marla,5.9,1606.28,2
264,https://www.zameen.com/Property/islamabad_the_springs_separate_apartment_on_lower_ground_at_islamabad_expressway_gated_cctv_fully_secured-7913392-8153-1.html,Flat,10000000,The Springs,Islamabad,"The Springs, Islamabad, Islamabad Capital",2,5.8 Marla,5.8,1579.06,2
268,https://www.zameen.com/Property/soan_garden_soan_garden_block_e_flat_for_sale-7923287-3495-1.html,Flat,3300000,Soan Garden,Islamabad,"Soan Garden, Islamabad, Islamabad Capital",2,3.3 Marla,3.3,898.43,2
274,https://www.zameen.com/Property/dha_defence_phase_2_lignum_tower_dha_islamabad_lignum_tower_3_bed_apartment_for_sale-7961504-9913-1.html,Flat,11500000,DHA Defence,Islamabad,"DHA Defence, Islamabad, Islamabad Capital",4,13 Marla,13.0,3539.26,3
280,https://www.zameen.com/Property/gulberg_gulberg_greens_samama_star_3_bed_apartment_1103_sq_feet_third_floor-7981169-8312-1.html,Flat,7800000,Gulberg,Islamabad,"Gulberg, Islamabad, Islamabad Capital",2,4.9 Marla,4.9,1334.03,3
281,https://www.zameen.com/Property/g_13_g_13_4_life_style_residency_flat_for_sale-7985365-3340-1.html,Flat,3900000,G-13,Islamabad,"G-13, Islamabad, Islamabad Capital",2,4.2 Marla,4.2,1143.45,1
290,https://www.zameen.com/Property/islamabad_islamabad_highway_apartment_for_sale_in_islamabad_highway-8040120-1561-1.html,Flat,1800000,Islamabad Highway,Islamabad,"Islamabad Highway, Islamabad, Islamabad Capital",1,1.6 Marla,1.6,435.6,1
291,https://www.zameen.com/Property/islamabad_f_8_super_apartment_for_sale-8066527-166-1.html,Flat,17500000,F-8,Islamabad,"F-8, Islamabad, Islamabad Capital",0,8 Marla,8.0,2178.01,0
297,https://www.zameen.com/Property/pir_sohawa_highland_resort_stunning_apartment_is_available_for_sale_in_highland_resort_islamabad-8088871-11110-1.html,Flat,5000000,Pir Sohawa,Islamabad,"Pir Sohawa, Islamabad, Islamabad Capital",1,2.6 Marla,2.6,707.85,1
307,https://www.zameen.com/Property/dha_defence_phase_2_defence_executive_apartments_apartment_is_available_for_sale-8132300-9615-1.html,Flat,9500000,DHA Defence,Islamabad,"DHA Defence, Islamabad, Islamabad Capital",0,9.1 Marla,9.1,2477.48,3
309,https://www.zameen.com/Property/islamabad_f_10_park_towers_f10__luxurious_flat_for_sale-8144980-162-1.html,Flat,12900000,F-10,Islamabad,"F-10, Islamabad, Islamabad Capital",0,8.9 Marla,8.9,2423.03,3
310,https://www.zameen.com/Property/g_11_g_11_4_pha_c_type_flat_in_g_11-8145104-3333-1.html,Flat,10500000,G-11,Islamabad,"G-11, Islamabad, Islamabad Capital",0,4 Marla,4.0,1089.0,2
314,https://www.zameen.com/Property/f_8_the_centaurus_one_bed_study_apartment_fully_furnished_apartment_in_centaurus_with_exotic_view-7028238-8349-4.html,Flat,160000,F-8,Islamabad,"F-8, Islamabad, Islamabad Capital",0,6.7 Marla,6.7,1824.08,1
315,https://www.zameen.com/Property/f_8_the_centaurus_3_bed_furnished_top_floor_apartment_with_exotic_view_of_margala_hills_available_in_centaurus_islamabad-7028316-8349-4.html,Flat,350000,F-8,Islamabad,"F-8, Islamabad, Islamabad Capital",0,11.7 Marla,11.7,3185.34,3
316,https://www.zameen.com/Property/f_8_the_centaurus_2_bed_fully_furnished_luxury_apartment_in_centaurus_beautiful_view-7029450-8349-4.html,Flat,225000,F-8,Islamabad,"F-8, Islamabad, Islamabad Capital",0,9 Marla,9.0,2450.26,2
317,https://www.zameen.com/Property/f_8_the_centaurus_1_bed_luxurious_apartment_in_centaurus_full_furnished_with_exotic_view-7078153-8349-4.html,Flat,150000,F-8,Islamabad,"F-8, Islamabad, Islamabad Capital",0,5.1 Marla,5.1,1388.48,1
321,https://www.zameen.com/Property/islamabad_f_11_f_11_al_safa_2_2800_sq__feet_2_bedroom_beautiful_fully_furnished_apartment_available_for_rent-7101001-163-4.html,Flat,65000,F-11,Islamabad,"F-11, Islamabad, Islamabad Capital",2,12.4 Marla,12.4,3375.91,2
322,https://www.zameen.com/Property/f_8_the_centaurus_three_bed_fully_furnished_apartment_available_for_rent_margalla_view-7117350-8349-4.html,Flat,250000,F-8,Islamabad,"F-8, Islamabad, Islamabad Capital",0,11.7 Marla,11.7,3185.34,3
323,https://www.zameen.com/Property/f_8_the_centaurus_one_bed_apartment_available_in_centaurus_at_reasonable_rate_margala_view-7140109-8349-4.html,Flat,140000,F-8,Islamabad,"F-8, Islamabad, Islamabad Capital",0,3.9 Marla,3.9,1061.78,1
324,https://www.zameen.com/Property/f_8_the_centaurus_one_bed_apartment_available_for_rent_available_at_reasonable_rental-7140212-8349-4.html,Flat,140000,F-8,Islamabad,"F-8, Islamabad, Islamabad Capital",0,5.1 Marla,5.1,1388.48,1
325,https://www.zameen.com/Property/f_8_the_centaurus_one_bed_study_apartment_for_rent_fully_furnished-7175059-8349-4.html,Flat,180000,F-8,Islamabad,"F-8, Islamabad, Islamabad Capital",0,6.7 Marla,6.7,1824.08,1
326,https://www.zameen.com/Property/islamabad_f_8_flat_is_available_for_rent-7203601-166-4.html,Flat,65000,F-8,Islamabad,"F-8, Islamabad, Islamabad Capital",0,2.9 Marla,2.9,789.53,2
330,https://www.zameen.com/Property/islamabad_karakoram_diplomatic_enclave_3_beds_with_servant_room_fully_furnished_apartment__karakoram_diplomatic_enclave-7327037-9063-4.html,Flat,250000,Karakoram Diplomatic Enclave,Islamabad,"Karakoram Diplomatic Enclave, Islamabad, Islamabad Capital",2,11.8 Marla,11.8,3212.56,2
331,https://www.zameen.com/Property/islamabad_karakoram_diplomatic_enclave_2_bed_apartment_with_servant_room_fully_furnished_available_in_diplomatic_enclave-7327046-9063-4.html,Flat,190000,Karakoram Diplomatic Enclave,Islamabad,"Karakoram Diplomatic Enclave, Islamabad, Islamabad Capital",2,8.9 Marla,8.9,2423.03,2
332,https://www.zameen.com/Property/f_8_the_centaurus_one_bed_fully_furnished_apartment_available_for_rent_at_reasonable_price-7327084-8349-4.html,Flat,140000,F-8,Islamabad,"F-8, Islamabad, Islamabad Capital",0,5.1 Marla,5.1,1388.48,1
333,https://www.zameen.com/Property/islamabad_e_11_full_furnished_2_bed_apartment_available_for_rent-7648027-329-4.html,Flat,45000,E-11,Islamabad,"E-11, Islamabad, Islamabad Capital",2,5.6 Marla,5.6,1524.61,2
344,https://www.zameen.com/Property/f_11_executive_heights_f_11_executive_heights__apartments_is_available_for_rent-7854616-10658-4.html,Flat,60000,F-11,Islamabad,"F-11, Islamabad, Islamabad Capital",2,5.9 Marla,5.9,1606.28,2
345,https://www.zameen.com/Property/f_10_silver_oaks_apartments_f_10_silver_oaks_apartment_is_available_for_rent-7854619-11308-4.html,Flat,130000,F-10,Islamabad,"F-10, Islamabad, Islamabad Capital",3,9.3 Marla,9.3,2531.93,3
346,https://www.zameen.com/Property/e_11_1_mpchs_islamabad_garden_1800_sqft_apartments_in_e_11_1_margalla_hills_international_is_available_for_rent-7883280-3231-4.html,Flat,66000,E-11,Islamabad,"E-11, Islamabad, Islamabad Capital",3,8 Marla,8.0,2178.01,3
347,https://www.zameen.com/Property/f_11_karakoram_enclave_2_f_11_luxury_fully_unfurnished_apartment_for_rent-7941189-10899-4.html,Flat,190000,F-11,Islamabad,"F-11, Islamabad, Islamabad Capital",4,17.3 Marla,17.3,4709.94,4
352,https://www.zameen.com/Property/islamabad_karakoram_diplomatic_enclave_karakoram_diplomatic_enclave_luxury_apartments_2_bed_and_3_bed_furnished_unfurnished-8091604-9063-4.html,Flat,190000,Karakoram Diplomatic Enclave,Islamabad,"Karakoram Diplomatic Enclave, Islamabad, Islamabad Capital",0,8.4 Marla,8.4,2286.91,0
353,https://www.zameen.com/Property/islamabad_karakoram_diplomatic_enclave_karakoram_diplomatic_enclave_sector_g5_luxurious_apartments_2_and_3_bed_furnished_unfurnished-8091654-9063-4.html,Flat,190000,Karakoram Diplomatic Enclave,Islamabad,"Karakoram Diplomatic Enclave, Islamabad, Islamabad Capital",3,8.4 Marla,8.4,2286.91,2
354,https://www.zameen.com/Property/f_8_the_centaurus_apartment_is_available_for_rent_in_the_centaurus_islamabad-8092149-8349-4.html,Flat,140000,F-8,Islamabad,"F-8, Islamabad, Islamabad Capital",0,3.9 Marla,3.9,1061.78,1
355,https://www.zameen.com/Property/f_8_the_centaurus_apartment_for_rent_in_the_centaurus_islamabad-8092158-8349-4.html,Flat,220000,F-8,Islamabad,"F-8, Islamabad, Islamabad Capital",0,9 Marla,9.0,2450.26,2
357,https://www.zameen.com/Property/islamabad_diplomatic_enclave_diplomatic_enclave_2_bedroom_fully_furnished_apartment_available_for_rent-8146872-429-4.html,Flat,100000,Diplomatic Enclave,Islamabad,"Diplomatic Enclave, Islamabad, Islamabad Capital",0,6.2 Marla,6.2,1687.96,2
366,https://www.zameen.com/Property/g_11_g_11_4_first_floor_flat_for_sale_in_pha_apartments_c_type-8171770-3333-1.html,Flat,9500000,G-11,Islamabad,"G-11, Islamabad, Islamabad Capital",2,4 Marla,4.0,1089.0,2
367,https://www.zameen.com/Property/islamabad_diplomatic_enclave_3_bedrooms_apartment_for_sale_in_diplomatic_enclave-8173979-429-1.html,Flat,62500000,Diplomatic Enclave,Islamabad,"Diplomatic Enclave, Islamabad, Islamabad Capital",4,11.6 Marla,11.6,3158.11,3
